title,rating,genre,budget,runtime,date,director,star_1,star_2,star_3
Thor: Ragnarok,8.2,"Action,Adventure,Comedy",180000000,130,2017/10/24,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett
How to Be Single,6.1,"Comedy,Romance",38000000,110,2016/01/08,Christian Ditter,Dakota Johnson,Rebel Wilson,Leslie Mann
