2,9,1,0,10
1,24,20,1,45
5,33,20,1,54
2,7,4,0,11
2,6,15,0,21
21,344,363,365,1072
2,1,3,2,6
6,26,11,0,37
30,749,356,54,1159
17,73,51,1,125
0,nan,nan,nan,nan
0,nan,nan,nan,nan
2,18,5,1,24
1,7,2,0,9
7,72,44,1,117
0,nan,nan,nan,nan
20,189,137,13,339
1,3,1,0,4
0,nan,nan,nan,nan
36,1214,806,123,2143
10,94,50,14,158
1,14,11,1,26
3,46,16,0,62
5,160,72,2,234
21,151,92,6,249
2,20,19,5,44
1,4,4,0,8
3,9,3,2,14
92,3044,2796,336,6176
2,15,0,0,15
1,4,2,0,6
2,69,5,0,74
1,3,0,0,3
70,2330,1683,166,4179
5,68,41,2,111
3,51,10,0,61
8,172,95,9,276
14,300,182,29,511
6,79,25,1,105
25,717,424,55,1196
4,27,8,1,36
1,8,7,0,15
40,837,602,75,1514
3,20,7,1,28
3,29,25,3,57
10,176,111,56,343
4,51,36,3,90
4,67,32,1,100
8,211,180,4,395
24,369,348,374,1091
0,nan,nan,nan,nan
11,353,247,8,608
7,59,33,2,94
3,39,11,2,52
15,359,126,10,495
1,19,8,1,28
58,1585,976,70,2631
4,51,28,1,80
12,186,115,31,332
1,1,1,0,2
1,12,14,1,27
3,42,17,0,59
0,nan,nan,nan,nan
1,2,0,0,2
2,8,4,0,12
11,185,155,47,387
5,54,34,3,91
5,26,18,1,45
4,110,58,0,168
4,42,19,1,62
0,nan,nan,nan,nan
2,21,3,0,24
1,43,15,1,59
1,4,0,0,4
3,110,42,2,154
1,7,2,3,12
9,120,37,2,159
13,251,121,18,390
4,127,49,4,180
46,993,694,168,1855
5,136,50,9,195
2,15,6,1,22
26,731,324,38,1093
21,439,292,24,755
10,322,122,9,453
12,342,297,18,657
4,101,20,1,122
12,97,44,0,141
3,14,5,0,19
17,394,160,12,566
3,27,22,0,49
7,138,68,3,209
18,381,220,14,615
0,nan,nan,nan,nan
10,144,56,24,224
18,502,275,153,930
0,nan,nan,nan,nan
0,nan,nan,nan,nan
