IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt3464902,單身動物園,單身動物園/單身,The Lobster,2016/3/11,"Greece,Ireland,Netherlands,UK,France",7.1,"Comedy,Drama,Romance",NA,119,Yorgos Lanthimos,0,34,47,7.15,Colin Farrell,0,13,51,7.175,Rachel Weisz,0,17,32,6.875,Jessica Barden,0,0,1,6.7,3.7,77,,,,,,55399,161,1
tt3882082,託陰,託陰,The Boy,2016/3/11,"USA,China,Canada",6,"Horror,Mystery,Thriller",8000000,97,William Brent Bell,0,0,2,5.3,Lauren Cohan,0,0,3,5.75,Rupert Evans,0,1,1,6.475,James Russell,0,0,0,6.9,4.1,224,,,,,,233432,408,16
tt3410834,分歧者3：赤誠者,分歧者3：赤誠者/分歧者3/赤誠者,Allegiant,2016/3/18,USA,5.7,"Action,Adventure,Mystery",110000000,120,Robert Schwentke,0,3,3,6.7,Shailene Woodley,0,33,65,6.7,Theo James,0,3,7,6.275,Jeff Daniels,0,11,33,7.5,4.3,297,,,,,,181793,265,7
tt2975590,蝙蝠俠對超人：正義曙光,蝙蝠俠對超人：正義曙光/蝙蝠俠對超人/正義曙光,Batman v Superman: Dawn of Justice,2016/3/25,USA,6.6,"Action,Adventure,Sci-Fi",250000000,151,Zack Snyder,0,3,12,7.125,Ben Affleck,0,71,105,7.925,Henry Cavill,0,2,11,6.75,Amy Adams,0,65,189,7.3,4.1,1331,,,,,,1353889,2596,129
tt2267968,功夫熊貓3,功夫熊貓3/功夫熊貓,Gong fu xiong mao 3,2016/4/1,"China,USA",7.1,"Animation,Action,Adventure",145000000,95,Alessandro Carloni,0,0,2,7.55,Jack Black,0,9,42,7.3,Bryan Cranston,0,51,83,8.25,Dustin Hoffman,0,60,50,7.8,4.5,160,,,,,,551994,1351,38
tt1179933,科洛弗10號地窖,科洛弗10號地窖/科洛弗,10 Cloverfield Lane,2016/4/1,USA,7.2,"Drama,Horror,Mystery",15000000,104,Dan Trachtenberg,0,0,3,7.6,John Goodman,0,26,72,7.75,Mary Elizabeth Winstead,0,4,16,7.175,John Gallagher Jr.,0,0,3,6.975,3.9,248,,,,,,160314,196,7
tt4076934,特工爺爺,特工爺爺,Wo de te gong ye ye,2016/4/1,"China,Hong Kong",5.9,"Action,Crime,Drama",NA,99,Sammo Kam-Bo Hung,0,9,21,7,Sammo Kam-Bo Hung,0,9,21,7,Jacqueline Chan,0,0,0,6.275,Qinqin Li,0,1,0,6.025,4.2,344,,,,,,105109,161,31
tt2381991,狩獵者：凜冬之戰,狩獵者：凜冬之戰/狩獵者/凜冬之戰,The Huntsman: Winter's War,2016/4/8,USA,6.1,"Action,Adventure,Drama",115000000,114,Cedric Nicolas-Troyan,0,0,3,6.433333333,Chris Hemsworth,0,10,29,7.375,Jessica Chastain,0,74,98,7.425,Charlize Theron,0,56,98,7.2,4.4,262,,,,,,579700,931,24
tt1083452,飛躍奇蹟,飛躍奇蹟/奇蹟,Eddie the Eagle,2016/4/8,"UK,Germany,USA",7.4,"Biography,Comedy,Drama",23000000,106,Dexter Fletcher,0,1,6,7.875,Taron Egerton,0,1,6,7.35,Hugh Jackman,0,22,78,7.975,Tom Costello,0,0,0,7.4,4.8,437,,,,,,160953,430,8
tt3040964,與森林共舞,與森林共舞,The Jungle Book,2016/4/15,"UK,USA",7.5,"Adventure,Drama,Family",175000000,106,Jon Favreau,0,5,9,7.35,Neel Sethi,0,0,5,6.575,Bill Murray,0,52,78,7.775,Ben Kingsley,0,44,69,8.15,4.5,279,,,,,,465480,45,4
tt3014866,換腦行動,換腦行動/換腦,Criminal,2016/4/15,"USA,UK",6.3,"Action,Crime,Drama",31500000,113,Ariel Vromen,0,2,0,6.233333333,Kevin Costner,0,51,56,7.225,Ryan Reynolds,0,16,42,6.825,Gal Gadot,0,2,3,6.825,4.5,168,,,,,,37648,64,2
tt3352390,非死不可,非死不可,Friend Request,2016/4/22,Germany,5.4,"Horror,Thriller",9900000,92,Simon Verhoeven,0,7,2,6.65,Alycia Debnam-Carey,0,0,1,5.775,William Moseley,0,1,3,6.825,Connor Paolo,0,0,1,6.9,4.4,192,,,,,,227135,288,18
tt3498820,美國隊長3：英雄內戰,美國隊長3：英雄內戰/美國隊長3/英雄內戰,Captain America: Civil War,2016/4/27,"USA,Germany",7.9,"Action,Adventure,Sci-Fi",250000000,147,Anthony Russo,0,2,7,7.45,Chris Evans,0,6,35,7.675,Robert Downey Jr.,0,36,104,7.65,Scarlett Johansson,0,37,135,8.05,4.6,1286,,,,,,1539982,4151,113
tt4438848,惡鄰纏身2,惡鄰纏身2/纏身2/惡鄰2,Neighbors 2: Sorority Rising,2016/5/6,USA,5.7,Comedy,35000000,92,Nicholas Stoller,0,2,7,6.65,Seth Rogen,0,11,32,6.95,Rose Byrne,0,13,24,6.975,Zac Efron,0,28,30,6.1,3.8,83,,,,,,326783,400,55
tt2241351,金錢怪獸,金錢怪獸,Money Monster,2016/5/13,USA,6.5,"Crime,Drama,Thriller",27000000,98,Jodie Foster,0,54,46,7.4,George Clooney,0,88,198,7.575,Julia Roberts,0,58,96,7.175,Jack O'Connell,0,12,10,7,4.3,126,,,,,,45856,46,5
tt4960242,北京遇上西雅圖之不二情書,北京遇上西雅圖之不二情書/不二情書/北京遇上西雅圖,Beijing yu shang: Xiyatu 2,2016/5/13,China,6.4,Romance,NA,132,Xiaolu Xue,0,2,7,6.95,Wei Tang,0,15,29,6.625,Xiubo Wu,0,5,7,7.4,Zhihong Liu,0,0,0,6.4,4.5,262,,,,,,277790,176,10
tt5284414,少女與戰車劇場版,少女與戰車劇場版/少女與戰車,Girls und Panzer the Movie,2016/5/13,Japan,7.6,Animation,NA,119,Tsutomu Mizushima,0,0,1,7.7,Mai Fuchigami,0,0,0,7.975,Ai Kayano,0,0,0,7.55,Mami Ozaki,0,0,0,7.625,3.7,125,,,,,,16542,58,6
tt3385516,X戰警：天啟,X戰警：天啟/X戰警/天啟,X-Men: Apocalypse,2016/5/18,USA,7,"Action,Adventure,Sci-Fi",178000000,144,Bryan Singer,0,14,19,8.225,James McAvoy,0,11,28,7.375,Michael Fassbender,0,76,136,7.775,Jennifer Lawrence,0,114,170,7.375,4.7,671,,,,,,1582355,2508,92
tt2567026,魔境夢遊：時光怪客,魔境夢遊：時光怪客/魔境夢遊/時光怪客,Alice Through the Looking Glass,2016/5/27,"USA,UK",6.2,"Adventure,Family,Fantasy",170000000,113,James Bobin,0,2,7,7.075,Mia Wasikowska,0,6,38,6.8,Johnny Depp,0,75,133,7.45,Helena Bonham Carter,0,43,84,7.675,4.5,199,,,,,,132525,295,10
tt4136084,走音天后,走音天后/走音,Florence Foster Jenkins,2016/5/27,UK,6.9,"Biography,Comedy,Drama",29000000,111,Stephen Frears,0,65,66,7.525,Meryl Streep,0,166,341,7.275,Hugh Grant,0,17,29,6.95,Simon Helberg,0,4,12,7.275,4.4,140,,,,,,144930,216,6
