IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt3672840,天將雄師,,Tian jiang xiong shi,2015/2/19,"China,Hong Kong",6.1,"Action,Adventure,Drama",65000000,127,Daniel Lee,0,1,3,6.25,Jackie Chan,0,38,45,6.725,John Cusack,0,7,18,6.975,Adrien Brody,0,12,35,7.55,3.8,118,5,137,107,21,265,19674,35,2
tt2084970,模仿遊戲,,The Imitation Game,2015/2/26,"UK,USA",8,"Biography,Drama,History",14000000,114,Morten Tyldum,0,33,17,7.35,Benedict Cumberbatch,0,31,98,7.55,Keira Knightley,0,27,93,7.775,Matthew Goode,0,2,13,7.725,4.8,539,8,39,37,0,76,311201,521,16
tt2381941,決勝焦點,,Focus,2015/2/26,"USA,Argentina",6.6,"Comedy,Crime,Drama",50100000,105,Glenn Ficarra,0,1,6,6.925,Will Smith,0,60,118,7.4,Margot Robbie,0,8,21,6.65,Rodrigo Santoro,0,18,14,7.05,4.2,114,1,5,6,2,13,98101,80,15
tt1823672,成人世界,,Chappie,2015/3/6,"South Africa,USA",6.8,"Action,Crime,Drama",49000000,120,Neill Blomkamp,0,12,34,7.2,Sharlto Copley,0,1,12,7.1,Dev Patel,0,17,33,6.4,Hugh Jackman,0,22,78,7.975,4.3,273,2,44,12,0,56,223519,274,18
tt2199571,一夜狂奔,,Run All Night,2015/3/12,USA,6.6,"Action,Crime,Drama",50000000,114,Jaume Collet-Serra,0,0,4,6.8,Liam Neeson,0,20,38,7.875,Ed Harris,0,27,46,7.75,Joel Kinnaman,0,1,2,6.8,4.5,201,1,5,0,0,5,138879,167,6
tt1661199,仙履奇緣,,Cinderella,2015/3/13,"USA,UK",7,"Drama,Family,Fantasy",95000000,114,Kenneth Branagh,0,30,57,6.85,Lily James,0,3,4,6.6,Cate Blanchett,0,149,184,8.55,Richard Madden,0,0,3,7.775,4.4,211,4,90,23,3,116,130666,242,6
tt2088003,總統遊戲,,Big Game,2015/3/19,"UK,Finland,Germany",5.4,"Action,Adventure",NA,90,Jalmari Helander,0,6,2,6.975,Samuel L. Jackson,0,36,81,8.225,Onni Tommila,0,0,1,6.625,Ray Stevenson,0,0,1,6.9,3.9,92,0,0,0,0,0,143062,202,6
tt2908446,分歧者2：叛亂者,,Insurgent,2015/3/20,USA,6.3,"Action,Adventure,Sci-Fi",110000000,119,Robert Schwentke,0,3,3,6.7,Shailene Woodley,0,33,65,6.7,Ansel Elgort,0,9,9,7.15,Theo James,0,3,7,6.275,4.3,423,5,89,52,10,151,384832,522,24
tt2338151,來自星星的傻瓜,,PK,2015/3/20,India,8.2,"Comedy,Drama,Fantasy",NA,153,Rajkumar Hirani,0,25,15,8.225,Aamir Khan,0,26,41,8.35,Anushka Sharma,0,7,17,7.325,Sanjay Dutt,0,12,19,7.825,4.6,227,0,0,0,0,0,382230,517,20
tt2224026,好家在一起,,Home,2015/3/27,USA,6.7,"Animation,Adventure,Comedy",135000000,94,Tim Johnson,0,6,2,6.675,Jim Parsons,0,20,61,7.575,Rihanna,0,24,66,7.35,Steve Martin,0,22,34,6.8,4.2,89,4,6,2,2,10,1090861,628,37
tt2820852,玩命關頭7,,Furious Seven,2015/4/1,"USA,Japan",7.2,"Action,Crime,Thriller",190000000,137,James Wan,0,14,11,6.975,Vin Diesel,0,7,32,6.85,Paul Walker,0,7,11,6.725,Dwayne Johnson,0,9,43,6.65,4.7,2068,16,287,107,21,415,1988553,7018,126
tt2404425,名畫的控訴,,Woman in Gold,2015/4/10,UK,7.3,"Biography,Drama,History",11000000,109,Simon Curtis,0,3,16,7.325,Helen Mirren,0,119,122,7.2,Ryan Reynolds,0,16,42,6.825,Daniel Br羹hl,0,21,26,8.05,4.6,117,0,0,0,0,0,220343,24,2
tt4484426?,念念,,Nian nian,2015/4/10,"Hong Kong,Taiwan",6.4,Drama,NA,119,Sylvia Chang,0,14,35,6.95,Isabella Leong,0,2,6,6.225,Lawrence Ko,0,2,3,7.325,Hsiao-chuan Chang,0,1,7,6.5,4.2,117,6,6,4,0,10,73094,65,3
tt2395427,復仇者聯盟2：奧創紀元,,Avengers: Age of Ultron,2015/4/22,USA,7.4,"Action,Adventure,Sci-Fi",250000000,141,Joss Whedon,0,25,42,8,Robert Downey Jr.,0,36,104,7.65,Chris Evans,0,6,35,7.675,Mark Ruffalo,0,29,106,7.925,4.4,991,18,394,242,13,649,374578,536,28
