IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt4046784,移動迷宮：焦土試煉,移動迷宮：焦土試煉/焦土試煉/移動迷宮,Maze Runner: The Scorch Trials,2015/9/9,USA,6.3,"Action,Sci-Fi,Thriller",61000000,131,Wes Ball,0,2,0,6.825,Dylan O'Brien,0,12,4,6.925,Kaya Scodelario,0,1,7,6.925,Thomas Brodie-Sangster,0,3,10,6.925,4.3,825,,,465127,1015,18
tt1798684,震撼擂台,震撼擂台,Southpaw,2015/9/18,"Hong Kong,USA",7.4,"Drama,Sport",30000000,124,Antoine Fuqua,0,4,7,7.125,Jake Gyllenhaal,0,36,91,7.8,Rachel McAdams,0,21,47,7.45,Oona Laurence,0,0,3,6.7,4.7,375,,,114890,112,2
tt2361509,高年級實習生,高年級實習生,The Intern,2015/9/25,USA,7.1,"Comedy,Drama",35000000,121,Nancy Meyers,0,6,4,6.8,Robert De Niro,0,51,90,8.225,Anne Hathaway,0,64,103,7.825,Rene Russo,0,4,27,6.8,4.7,18,,,807821,552,6
tt2719848,聖母峰,聖母峰,Everest,2015/9/25,"UK,USA,Iceland",7.1,"Action,Adventure,Drama",55000000,121,Baltasar Korm獺kur,0,34,27,6.8,Jason Clarke,0,1,4,7.35,Ang Phula Sherpa,0,0,0,7.1,Thomas M. Wright,0,0,1,7.075,4.4,365,,,608272,825,31
tt2510894,尖叫旅社2,尖叫旅社2/尖叫旅社,Hotel Transylvania 2,2015/9/25,USA,6.7,"Animation,Comedy,Family",80000000,89,Genndy Tartakovsky,0,3,15,7.575,Adam Sandler,0,53,75,6.2,Andy Samberg,0,5,28,7.55,Selena Gomez,0,40,40,6.225,4.6,136,,,377735,621,23
tt3659388,絕地救援,絕地救援,The Martian,2015/10/2,"UK,USA",8,"Adventure,Drama,Sci-Fi",108000000,144,Ridley Scott,0,39,83,7.925,Matt Damon,0,35,139,8.275,Jessica Chastain,0,74,98,7.425,Kristen Wiig,0,11,65,7.375,4.6,631,,,361482,804,18
tt3488710,走鋼索的人,走鋼索的人,The Walk,2015/10/2,USA,7.3,"Adventure,Biography,Crime",35000000,123,Robert Zemeckis,0,33,36,7.575,Joseph Gordon-Levitt,0,21,63,8.075,Charlotte Le Bon,0,0,1,6.3,Guillaume Baillargeon,0,0,0,6.675,4.6,194,,,114715,116,8
tt3332064,潘恩：航向夢幻島,潘恩：航向夢幻島/潘恩/航向夢幻島,Pan,2015/10/8,"USA,UK,Australia",5.8,"Adventure,Family,Fantasy",150000000,111,Joe Wright,0,10,29,7.25,Levi Miller,0,2,2,6.3,Hugh Jackman,0,22,78,7.975,Garrett Hedlund,0,2,3,7.025,4.2,179,,,82195,175,6
tt4801606,百日告別,百日告別,Bai ri gaobie,2015/10/8,Taiwan,7,Drama,NA,96,Tom Lin,0,7,13,7.025,Kar Yan Lam,0,4,9,6.525,Chin-Hang Shih,0,0,0,6.2,Bryan Shu-Hao Chang,0,1,1,6.875,4,106,,,243893,650,7
tt3682448,間諜橋,間諜橋,Bridge of Spies,2015/10/16,"USA,Germany,India",7.6,"Drama,History,Thriller",40000000,142,Steven Spielberg,0,180,180,8.175,Tom Hanks,0,79,139,7.95,Mark Rylance,0,20,35,7.25,Alan Alda,0,38,60,7.475,4.6,279,,,62288,89,1
tt2554274,腥紅山莊,腥紅山莊,Crimson Peak,2015/10/16,"USA,Canada",6.5,"Drama,Fantasy,Horror",55000000,119,Guillermo del Toro,0,55,56,7.25,Mia Wasikowska,0,6,38,6.8,Jessica Chastain,0,74,98,7.425,Tom Hiddleston,0,5,31,7.575,4.2,295,,,804320,758,17
tt1754656,小王子,小王子,The Little Prince,2015/10/23,France,7.8,"Animation,Adventure,Drama",81200000,108,Mark Osborne,0,15,7,7.65,Jeff Bridges,0,42,104,7.625,Mackenzie Foy,0,4,7,7.35,Rachel McAdams,0,21,47,7.45,4.4,323,,,92862,413,3
tt1618442,獵巫行動：大滅絕,獵巫行動：大滅絕/獵巫行動/大滅絕,The Last Witch Hunter,2015/10/23,"USA,China,Canada",6,"Action,Adventure,Fantasy",90000000,106,Breck Eisner,0,0,1,6.325,Vin Diesel,0,7,32,6.85,Rose Leslie,0,1,2,6.75,Elijah Wood,0,25,44,8.325,4,309,,,175884,161,11
tt5161762,234說愛你,234說愛你,234 Shuo ai ni,2015/10/23,Taiwan,6.3,Drama,NA,96,Wei-Chen Chang,0,0,0,6.95,Ariel Lin,0,3,1,5.3,Hao Qin,0,2,3,6.6,Jolin Chien,0,0,0,6.133333333,4.5,263,,,544510,1129,31
tt1355683,黑勢力,黑勢力,Black Mass,2015/10/23,"USA,UK",6.9,"Biography,Crime,Drama",53000000,123,Scott Cooper,0,2,7,7.325,Johnny Depp,0,75,133,7.45,Benedict Cumberbatch,0,31,98,7.55,Dakota Johnson,0,8,10,5.425,4.2,116,,,541776,339,5
tt2503944,天菜大廚,天菜大廚,Burnt,2015/10/30,USA,6.6,"Comedy,Drama",20000000,101,John Wells,0,21,45,8,Bradley Cooper,0,28,62,7.575,Sienna Miller,0,4,19,6.775,Daniel Br羹hl,0,21,26,8.05,4.1,250,,,124008,128,3
