0,nan,nan,nan,nan
0,nan,nan,nan,nan
4,162,39,7,208
5,55,16,1,72
14,45,36,3,84
3,9,7,1,17
4,31,13,6,50
1,2,0,0,2
0,nan,nan,nan,nan
3,39,48,0,87
1,11,5,0,16
2,6,0,0,6
2,5,4,0,9
23,162,75,23,260
7,19,7,0,26
7,61,44,20,125
3,11,5,0,16
5,137,107,21,265
8,39,37,0,76
1,5,6,2,13
2,44,12,0,56
1,5,0,0,5
4,90,23,3,116
0,nan,nan,nan,nan
5,89,52,10,151
0,nan,nan,nan,nan
4,6,2,2,10
16,287,107,21,415
0,nan,nan,nan,nan
6,6,4,0,10
18,394,242,13,649
2,21,12,4,37
2,4,1,0,5
3,74,9,1,84
12,246,181,7,434
3,45,22,3,70
1,21,3,1,25
6,74,32,0,106
3,30,7,0,37
7,111,56,5,172
2,22,8,0,30
6,143,36,1,180
0,nan,nan,nan,nan
11,160,136,10,306
0,nan,nan,nan,nan
17,271,177,27,475
15,353,200,27,580
22,341,435,78,854
2,14,5,0,19
12,385,162,10,557
